# STSCI IR Throughput data from http://www.stsci.edu/hst/instrumentation/wfc3/performance/throughputs
# Downloaded 08/22/2019
# Wavelength (Angstrom) Throughput (0-1)
7999.0 0.0
8000.0 3.1232708633161565e-05
8002.2001953125 3.1247814843956606e-05
8010.0 3.1295806682763425e-05
8020.0 3.1361362537617867e-05
8030.0 3.142911878372627e-05
8040.0 3.149353424536607e-05
8050.0 3.155852632724801e-05
8060.0 3.162373152651856e-05
8070.0 3.168904669564222e-05
8080.0 3.175452772995917e-05
8090.0 3.18201750711967e-05
8100.0 3.18858772469311e-05
8110.0 3.1951743585507e-05
8120.0 3.201767009041368e-05
8130.0 3.2083761241526674e-05
8140.0 3.214996374758209e-05
8150.0 3.2216221285273645e-05
8160.0 3.2282649472857284e-05
8170.0 3.234918679325017e-05
8180.0 3.241578192285551e-05
8190.0 3.2545925092744725e-05
8200.0 3.267643647639741e-05
8202.25390625 3.2704429882245636e-05
8210.0 3.279949358083e-05
8220.0 3.292254955340287e-05
8230.0 3.304592891879027e-05
8240.0 3.314608703150441e-05
8250.0 3.324643644818191e-05
8252.267578125 3.326921127330501e-05
8260.0 3.851071419617227e-05
8270.0 4.532629654461378e-05
8280.0 5.218383471324156e-05
8290.0 5.908333467440508e-05
8300.0 6.602480751004077e-05
8302.28125 6.761425893269124e-05
8310.0 6.254851441670724e-05
8320.0 5.594875155669136e-05
8330.0 4.930722998279666e-05
8340.0 4.262403773780772e-05
8350.0 3.589890358756999e-05
8352.294921875 3.434963822969424e-05
8360.0 3.443046141481976e-05
8370.0 3.4462398317237175e-05
8380.0 3.4494265397028503e-05
8390.0 3.4526182331846054e-05
8400.0 3.4558086533473485e-05
8402.30859375 3.4563887152471664e-05
8410.0 3.458694000901461e-05
8420.0 3.4616860153776156e-05
8430.0 3.46468504276596e-05
8440.0 3.4676850601796475e-05
8450.0 3.470685539787259e-05
8452.322265625 3.471383883781815e-05
8460.0 3.4733734155498575e-05
8470.0 3.47596526650334e-05
8480.0 3.478568240915918e-05
8490.0 3.481216982872436e-05
8500.0 3.4839556695576914e-05
8502.3349609375 3.4851080700712425e-05
8510.0 3.488892401178307e-05
8520.0 3.4939165065622736e-05
8530.0 3.4989774080639614e-05
8540.0 3.504052571921344e-05
8550.0 3.505155646532374e-05
8552.3486328125 3.505414363834794e-05
8560.0 4.5774564112143966e-05
8570.0 5.9793165823665015e-05
8580.0 7.382031079900079e-05
8590.0 8.785579558771216e-05
8600.0 0.00010189932549081435
8602.3623046875 0.00010521405097648776
8610.0 0.00010254735488867732
8620.0 9.905472278455416e-05
8630.0 9.556086610919009e-05
8640.0 9.220763203423037e-05
8650.0 8.884247844513278e-05
8660.0 8.546526939130402e-05
8670.0 8.20763079275454e-05
8680.0 7.867550034623199e-05
8690.0 7.526284929227271e-05
8700.0 7.183842849502513e-05
8710.0 6.840210228572968e-05
8720.0 6.49541518707696e-05
8730.0 6.178430692205937e-05
8740.0 5.857082710704765e-05
8750.0 5.53134447783039e-05
8760.0 5.2011874114118945e-05
8770.0 4.866577014192763e-05
8780.0 4.527502348899092e-05
8790.0 4.183927307447286e-05
8800.0 3.835823392404894e-05
8802.416015625 3.7497754995140954e-05
8810.0 3.7634888835098167e-05
8820.0 3.781602610254974e-05
8830.0 3.7997670270143264e-05
8840.0 3.8244130475876734e-05
8850.0 3.849161498518098e-05
8852.4296875 3.8551902477527894e-05
8860.0 5.633416985430786e-05
8870.0 8.008760029056699e-05
8880.0 0.00010414306122004213
8890.0 0.00012850270634501455
8900.0 0.00015316827971318598
8902.443359375 0.0001590885524223654
8910.0 0.00015938079358730403
8920.0 0.00015976759787334304
8930.0 0.0001602869001276755
8940.0 0.0001606743656556999
8950.0 0.00016106165857921874
8960.0 0.00016158298774828688
8970.0 0.0001619719288198765
8980.0 0.00016249700570705776
8990.0 0.00016288989732364905
9000.0 0.00016328366521543012
9002.470703125 0.0001633208187078064
9010.0 0.00016342790289255223
9020.0 0.00016343748478245948
9030.0 0.00016358505782191596
9040.0 0.00016373752884557533
9050.0 0.00016389249947587834
9052.484375 0.00016396538757082813
9060.0 0.00015494002233674392
9070.0 0.00014277519285252945
9080.0 0.0001306957156371957
9090.0 0.00011847321867502063
9100.0 0.00010622639400779321
9110.0 9.40326516936544e-05
9120.0 8.172509431704125e-05
9130.0 6.944935440272116e-05
9140.0 5.7079050311395925e-05
9150.0 4.4719262726381113e-05
9152.5107421875 4.159984580399717e-05
9160.0 4.163395047173966e-05
9170.0 4.17147182188773e-05
9180.0 4.176107506003683e-05
9190.0 4.184273041763394e-05
9200.0 4.188984153636146e-05
9202.5244140625 4.190349072445147e-05
9210.0 5.448415162830644e-05
9220.0 7.129246234476797e-05
9230.0 8.819137230045611e-05
9240.0 0.00010513965344271645
9250.0 0.00012223718918003392
9252.5380859375 0.00012656189211617506
9260.0 0.0001140923514003784
9270.0 9.742301370767266e-05
9280.0 8.061157402075015e-05
9290.0 6.38071028564542e-05
9300.0 4.6888071125436835e-05
9302.5517578125 4.2572342522721197e-05
9310.0 5.533291059548014e-05
9320.0 7.247110397263677e-05
9330.0 8.973241523180519e-05
9340.0 0.00010698071145331149
9350.0 0.00012438163285446137
9352.5654296875 0.0001288303799694385
9360.0 0.00011618678058666134
9370.0 9.922242119281685e-05
9380.0 8.211196236806561e-05
9390.0 6.500840472584261e-05
9400.0 4.782790564999108e-05
9402.5791015625 4.336440868434341e-05
9410.0 4.820628621386647e-05
9420.0 5.4782163532907564e-05
9430.0 6.132317013496662e-05
9440.0 6.796501201151939e-05
