# wave[microns] transmission[e/photon]
2.53700 0.000016253949
2.54280 0.000016243476
2.54860 0.000016233003
2.55440 0.000016222530
2.56020 0.000016212057
2.56600 0.000016201584
2.57180 0.000016191111
2.57760 0.000016180638
2.58340 0.000016170165
2.58920 0.000016159691
2.59500 0.000016149218
2.60080 0.000016138745
2.60660 0.000016128272
2.61240 0.000016117799
2.61820 0.000016107326
2.62400 0.000016096853
2.62980 0.000016086380
2.63560 0.000016075907
2.64140 0.000016065434
2.64720 0.000016054961
2.65300 0.000016044488
2.65880 0.000016034015
2.66460 0.000016023542
2.67040 0.000016013069
2.67620 0.000016002595
2.68200 0.000015992122
2.68780 0.000015981649
2.69360 0.000015971176
2.69940 0.000015960703
2.70520 0.000015950230
2.71100 0.000015939757
2.71680 0.000015929284
2.72260 0.000015918811
2.72840 0.000015908338
2.73420 0.000015897865
2.74000 0.000015887392
2.74580 0.000015876919
2.75160 0.000015866446
2.75740 0.000015855973
2.76320 0.000015845499
2.76900 0.000015835026
2.77480 0.000015824553
2.78060 0.000015814080
2.78640 0.000015803607
2.79220 0.000015793134
2.79800 0.000015782661
2.80380 0.000015772188
2.80960 0.000015761715
2.81540 0.000015751242
2.82120 0.000015740769
2.82700 0.000015730296
2.83280 0.000015719823
2.83860 0.000015709350
2.84440 0.000015698877
2.85020 0.000015688403
2.85600 0.000015677930
2.86180 0.000015667457
2.86760 0.000015656984
2.87340 0.000015646511
2.87920 0.000015636038
2.88500 0.000015625565
2.89080 0.000015615092
2.89660 0.000015604619
2.90240 0.000015594146
2.90820 0.000015583673
2.91400 0.000015573200
2.91980 0.000015562727
2.92560 0.000015552254
2.93140 0.000015541781
2.93720 0.000015531308
2.94300 0.000015520834
2.94880 0.000015510361
2.95460 0.000015499888
2.96040 0.000015489415
2.96620 0.000015478942
2.97200 0.000015468469
2.97780 0.000015457996
2.98360 0.000015447523
2.98940 0.000015437050
2.99520 0.000015426577
3.00100 0.000015421382
3.00680 0.000015441522
3.01260 0.000015461663
3.01840 0.000015481804
3.02420 0.000015501944
3.03000 0.000015522085
3.03580 0.000015542225
3.04160 0.000015562366
3.04740 0.000015582506
3.05320 0.000015602647
3.05900 0.000015622787
3.06480 0.000015642928
3.07060 0.000015663068
3.07640 0.000015683209
3.08220 0.000015703349
3.08800 0.000015723490
3.09380 0.000015743630
3.09960 0.000015763771
3.10540 0.000015783911
3.11120 0.000015804052
3.11700 0.000015824192
3.12280 0.000015844333
3.12860 0.000015864473
3.13440 0.000015884614
3.14020 0.000015904754
3.14600 0.000015924895
3.15180 0.000015945035
3.15760 0.000015965176
3.16340 0.000015985316
3.16920 0.000016005457
3.17500 0.000016025597
3.18080 0.000016045738
3.18660 0.000016065878
3.19240 0.000016086019
3.19820 0.000016106159
3.20400 0.000016126300
3.20980 0.000016146440
3.21560 0.000016166581
3.22140 0.000016186721
3.22720 0.000016206862
3.23300 0.000016227002
3.23880 0.000016247143
3.24460 0.000016267283
3.25040 0.000016287424
3.25620 0.000016307565
3.26200 0.000016327705
3.26780 0.000016347846
3.27360 0.000016367986
3.27940 0.000016388127
3.28520 0.000016408267
3.29100 0.000016428408
3.29680 0.000016448548
3.30260 0.000016468689
3.30840 0.000016488829
3.31420 0.000016508970
3.32000 0.000016529110
3.32580 0.000016549251
3.33160 0.000016569391
3.33740 0.000016589532
3.34320 0.000016609672
3.34900 0.000016629813
3.35480 0.000016649953
3.36060 0.000016670094
3.36640 0.000016690234
3.37220 0.000016710375
3.37800 0.000016730515
3.38380 0.000016750656
3.38960 0.000016770796
3.39540 0.000016790937
3.40120 0.000016811077
3.40700 0.000016831218
3.41280 0.000016851358
3.41860 0.000016871499
3.42440 0.000016891639
3.43020 0.000016911780
3.43600 0.000016931920
3.44180 0.000016952061
3.44760 0.000016972201
3.45340 0.000016992342
3.45920 0.000017012482
3.46500 0.000017032623
3.47080 0.000017052763
3.47660 0.000017072904
3.48240 0.000017093044
3.48820 0.000017113185
3.49400 0.000017133326
3.49980 0.000017153466
3.50560 0.000017217943
3.51140 0.000017284004
3.51720 0.000017350065
3.52300 0.000017416126
3.52880 0.000017482187
3.53460 0.000017548248
3.54040 0.000017614309
3.54620 0.000017680370
3.55200 0.000017746431
3.55780 0.000017812491
3.56360 0.000017878552
3.56940 0.000017944613
3.57520 0.000018010674
3.58100 0.000018076735
3.58680 0.000018142796
3.59260 0.000018208857
3.59840 0.000018274918
3.60420 0.000018340978
3.61000 0.000018407039
3.61580 0.000018473100
3.62160 0.000018539161
3.62740 0.000018605222
3.63320 0.000018671283
3.63900 0.000018737344
3.64480 0.000018803405
3.65060 0.000018869465
3.65640 0.000018935526
3.66220 0.000019001587
3.66800 0.000019067648
3.67380 0.000019133709
3.67960 0.000019199770
3.68540 0.000019265831
3.69120 0.000019331892
3.69700 0.000019397953
3.70280 0.000019464013
3.70860 0.000019530074
3.71440 0.000019596135
3.72020 0.000019662196
3.72600 0.000019728257
3.73180 0.000019794318
3.73760 0.000019860379
3.74340 0.000019926440
3.74920 0.000019992500
3.75500 0.000020058561
3.76080 0.000020124622
3.76660 0.000020190683
3.77240 0.000020256744
3.77820 0.000020322805
3.78400 0.000020388866
3.78980 0.000020454927
3.79560 0.000020520987
3.80140 0.000020587048
3.80720 0.000020653109
3.81300 0.000020719170
3.81880 0.000020785231
3.82460 0.000020851292
3.83040 0.000020917353
3.83620 0.000020983414
3.84200 0.000021049475
3.84780 0.000021115535
3.85360 0.000021181596
3.85940 0.000021247657
3.86520 0.000021313718
3.87100 0.000021379779
3.87680 0.000021445840
3.88260 0.000021511901
3.88840 0.000021577962
3.89420 0.000021644022
3.90000 0.000021710083
3.90580 0.000021776144
3.91160 0.000021842205
3.91740 0.000021908266
3.92320 0.000021974327
3.92900 0.000022040388
3.93480 0.000022106449
3.94060 0.000022172509
3.94640 0.000022238570
3.95220 0.000022304631
3.95800 0.000022370692
3.96380 0.000022436753
3.96960 0.000022502814
3.97540 0.000022568875
3.98120 0.000022634936
3.98700 0.000022700997
3.99280 0.000022767057
3.99860 0.000022833118
4.00440 0.000022886956
4.01020 0.000022936904
