# Roman WFI preliminary Filter transmission curve
# https://roman.gsfc.nasa.gov/science/Roman_Reference_Information.html
# Roman Project values as of 2020.11.30 via J. Kruk, compiled by B. Rose
# Microns Throughput
1.310 0.0000
1.315 0.0000
1.320 0.0001
1.325 0.0002
1.330 0.0006
1.335 0.0017
1.340 0.0043
1.345 0.0098
1.350 0.0205
1.355 0.0395
1.360 0.0701
1.365 0.1148
1.370 0.1745
1.375 0.2468
1.380 0.3262
1.385 0.4061
1.390 0.4787
1.395 0.5388
1.400 0.5839
1.405 0.6146
1.410 0.6334
1.415 0.6441
1.420 0.6498
1.425 0.6529
1.430 0.6543
1.435 0.6551
1.440 0.6553
1.445 0.6550
1.450 0.6552
1.455 0.6555
1.460 0.6557
1.465 0.6558
1.470 0.6559
1.475 0.6563
1.480 0.6563
1.485 0.6567
1.490 0.6568
1.495 0.6572
1.500 0.6573
1.505 0.6574
1.510 0.6579
1.515 0.6583
1.520 0.6586
1.525 0.6592
1.530 0.6594
1.535 0.6600
1.540 0.6606
1.545 0.6610
1.550 0.6615
1.555 0.6618
1.560 0.6622
1.565 0.6624
1.570 0.6629
1.575 0.6631
1.580 0.6634
1.585 0.6639
1.590 0.6645
1.595 0.6652
1.600 0.6661
1.605 0.6670
1.610 0.6680
1.615 0.6689
1.620 0.6698
1.625 0.6711
1.630 0.6724
1.635 0.6733
1.640 0.6742
1.645 0.6750
1.650 0.6758
1.655 0.6767
1.660 0.6771
1.665 0.6779
1.670 0.6786
1.675 0.6789
1.680 0.6792
1.685 0.6798
1.690 0.6801
1.695 0.6802
1.700 0.6808
1.705 0.6813
1.710 0.6815
1.715 0.6812
1.720 0.6803
1.725 0.6776
1.730 0.6726
1.735 0.6640
1.740 0.6503
1.745 0.6294
1.750 0.6006
1.755 0.5617
1.760 0.5137
1.765 0.4569
1.770 0.3941
1.775 0.3284
1.780 0.2636
1.785 0.2034
1.790 0.1503
1.795 0.1062
1.800 0.0716
1.805 0.0461
1.810 0.0282
1.815 0.0164
1.820 0.0091
1.825 0.0048
1.830 0.0024
1.835 0.0011
1.840 0.0005
1.845 0.0002
1.850 0.0001
1.855 0.0000
1.860 0.0000
