# Roman WFI preliminary Filter transmission curve
# https://roman.gsfc.nasa.gov/science/Roman_Reference_Information.html
# Roman Project values as of 2020.11.30 via J. Kruk, compiled by B. Rose
# Microns Throughput
0.880 0.0000
0.885 0.0000
0.890 0.0002
0.895 0.0010
0.900 0.0041
0.905 0.0135
0.910 0.0374
0.915 0.0860
0.920 0.1664
0.925 0.2740
0.930 0.3911
0.935 0.4944
0.940 0.5678
0.945 0.6101
0.950 0.6295
0.955 0.6367
0.960 0.6388
0.965 0.6387
0.970 0.6384
0.975 0.6376
0.980 0.6371
0.985 0.6362
0.990 0.6353
0.995 0.6348
1.000 0.6340
1.005 0.6337
1.010 0.6333
1.015 0.6330
1.020 0.6327
1.025 0.6324
1.030 0.6322
1.035 0.6317
1.040 0.6315
1.045 0.6314
1.050 0.6314
1.055 0.6314
1.060 0.6315
1.065 0.6316
1.070 0.6318
1.075 0.6319
1.080 0.6321
1.085 0.6327
1.090 0.6329
1.095 0.6330
1.100 0.6335
1.105 0.6332
1.110 0.6332
1.115 0.6335
1.120 0.6338
1.125 0.6337
1.130 0.6340
1.135 0.6342
1.140 0.6343
1.145 0.6342
1.150 0.6340
1.155 0.6325
1.160 0.6284
1.165 0.6190
1.170 0.5997
1.175 0.5658
1.180 0.5133
1.185 0.4414
1.190 0.3557
1.195 0.2653
1.200 0.1812
1.205 0.1125
1.210 0.0632
1.215 0.0319
1.220 0.0144
1.225 0.0058
1.230 0.0021
1.235 0.0007
1.240 0.0002
1.245 0.0000
1.250 0.0000
