# Roman WFI preliminary Filter transmission curve
# https://roman.gsfc.nasa.gov/science/Roman_Reference_Information.html
# Roman Project values as of 2020.11.30 via J. Kruk, compiled by B. Rose
# Microns Throughput
0.450 0.0000
0.455 0.0000
0.460 0.0001
0.465 0.0012
0.470 0.0118
0.475 0.0589
0.480 0.1571
0.485 0.2526
0.490 0.2953
0.495 0.3026
0.500 0.3019
0.505 0.3026
0.510 0.3051
0.515 0.3094
0.520 0.3152
0.525 0.3224
0.530 0.3307
0.535 0.3400
0.540 0.3503
0.545 0.3609
0.550 0.3722
0.555 0.3839
0.560 0.3965
0.565 0.4098
0.570 0.4233
0.575 0.4369
0.580 0.4502
0.585 0.4629
0.590 0.4747
0.595 0.4853
0.600 0.4943
0.605 0.5011
0.610 0.5069
0.615 0.5115
0.620 0.5153
0.625 0.5187
0.630 0.5225
0.635 0.5257
0.640 0.5281
0.645 0.5299
0.650 0.5309
0.655 0.5311
0.660 0.5303
0.665 0.5294
0.670 0.5282
0.675 0.5271
0.680 0.5274
0.685 0.5277
0.690 0.5281
0.695 0.5283
0.700 0.5281
0.705 0.5270
0.710 0.5256
0.715 0.5243
0.720 0.5231
0.725 0.5226
0.730 0.5223
0.735 0.5211
0.740 0.5167
0.745 0.5010
0.750 0.4593
0.755 0.3808
0.760 0.2705
0.765 0.1575
0.770 0.0725
0.775 0.0258
0.780 0.0069
0.785 0.0014
0.790 0.0002
0.795 0.0000
0.800 0.0000
